"Adresse","Occurrences","H2-1","Longueur du H2-1","H2-2","Longueur du H2-2","Indexabilité","Statut d'indexabilité"
"https://anihome.fr/","12","Passionnés, pros","16","Petsitting","10","Indexable",""
"https://anihome.fr/politique-de-confidentialite/","9","Qui sommes-nous ?","17","Commentaires","12","Indexable",""
"https://anihome.fr/album/","2","notre album photo","17","Garde d’animaux professionnelle","31","Indexable",""
"https://anihome.fr/portfolio-items/rongeurs-et-nac/","7","Lapins, hamster, furets, …","26","Entretien des cages","19","Indexable",""
"https://anihome.fr/tarifs/","3","Tarifs de base","14","Si vous avez d’autres questions, contactez nous","47","Indexable",""
"https://anihome.fr/mentions-legales/","4","Adresse du site","15","Hébergement","11","Indexable",""
"https://anihome.fr/portfolio-items/service-durgences/","7","Les imprévus ça arrive …","24","Heures d'astreintes","19","Indexable",""
"https://anihome.fr/author/mowgli/","10","Comment bien choisir son petsitter ? Quelles sont les réglementations en France ?","81","Les idées de jeux et d’activités pour stimuler son animal de compagnie : comment le rendre heureux et en bonne santé ?","118","Indexable",""
"https://anihome.fr/qui-sommes-nous/","8","Pierre et Wendy","15","Questions fréquentes","20","Indexable",""
"https://anihome.fr/contact/","5","Demander un devis","17","Nous contacter","14","Indexable",""
"https://anihome.fr/nos-services/","11","Le bien-être des animaux","24","Nos services en détails","23","Indexable",""
"https://anihome.fr/actualite/","7","Comment bien choisir son petsitter ? Quelles sont les réglementations en France ?","81","Les idées de jeux et d’activités pour stimuler son animal de compagnie : comment le rendre heureux et en bonne santé ?","118","Indexable",""
"https://anihome.fr/portfolio-items/reptiles/","7","Pas de discrimination","21","Nourrissages","12","Indexable",""
"https://anihome.fr/portfolio-items/promenades/","7","Balades de chiens","17","Quotidiennes ou à la carte","26","Indexable",""
"https://anihome.fr/actualite/page/2/","5","Les nouvelles lois pour lutter contre la maltraitance et l’abandon des animaux de compagnie","91","Les dangers de l’automédication chez les animaux de compagnie : pourquoi consulter un vétérinaire ?","99","Non indexable","Canonisé"
"https://anihome.fr/portfolio-items/gardiennage/","7","Courrier, plantes, volets, …","28","Courrier et colis","17","Indexable",""
"https://anihome.fr/portfolio-items/gardes-a-domicile/","7","Gardes chats, chiens, rongeurs, …","33","Fréquence personnalisable","25","Indexable",""
"https://anihome.fr/les-meilleurs-endroits-pour-partir-en-vacances-avec-son-animal-de-compagnie/","2","Vamos a la playa","16","Garde d’animaux professionnelle","31","Indexable",""
"https://anihome.fr/comment-choisir-le-meilleur-aliment-pour-son-animal-de-compagnie/","2","Une bonne alimentation est essentielle","38","Garde d’animaux professionnelle","31","Indexable",""
"https://anihome.fr/les-bienfaits-de-la-zootherapie-comment-les-animaux-peuvent-nous-aider-a-aller-mieux/","2","La zoothérapie : des bienfaits méconnus","39","Garde d’animaux professionnelle","31","Indexable",""
"https://anihome.fr/les-conseils-pour-adopter-un-animal-de-compagnie-dans-un-refuge-comment-bien-le-choisir-et-laccueillir/","2","L’adoption doit être réfléchie et responsable","45","Garde d’animaux professionnelle","31","Indexable",""
"https://anihome.fr/les-astuces-pour-eduquer-son-animal-de-compagnie-comment-lui-apprendre-les-bonnes-manieres/","2","Eduquer son animal est essentiel.","33","Garde d’animaux professionnelle","31","Indexable",""
"https://anihome.fr/comment-bien-choisir-son-petsitter-quelles-sont-les-reglementations-en-france/","2","Un mode de garde tendance avec de nombreux avantages","52","Garde d’animaux professionnelle","31","Indexable",""
"https://anihome.fr/les-idees-de-jeux-et-dactivites-pour-stimuler-son-animal-de-compagnie-comment-le-rendre-heureux-et-en-bonne-sante/","2","La séance de jeux : aussi importante pour l’animal que pour le maître","69","Garde d’animaux professionnelle","31","Indexable",""
"https://anihome.fr/les-nouvelles-lois-pour-lutter-contre-la-maltraitance-et-labandon-des-animaux-de-compagnie/","2","Il est temps de mettre fin à la maltraitance animale","52","Garde d’animaux professionnelle","31","Indexable",""
"https://anihome.fr/les-tendances-mode-pour-les-animaux-de-compagnie-comment-les-habiller-avec-style/","2","Pet Fashion Week","16","Garde d’animaux professionnelle","31","Indexable",""
"https://anihome.fr/les-dangers-de-lautomedication-chez-les-animaux-de-compagnie-pourquoi-consulter-un-veterinaire/","2","Automédication : attention !","28","Garde d’animaux professionnelle","31","Indexable",""
